,id,type,commentscount,likescount,ig_timestamp,videoviewcount,videoplaycount,videoduration,row_index,hashtag_index,index_num,hashtag
148,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,148,1015,1015,ExpandOpportunity
149,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,149,1016,1016,ExpandOpportunity
150,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,150,1023,1023,ExpandOpportunity
151,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,151,1044,1044,ExpandOpportunity
152,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,152,1049,1049,ExpandOpportunity
153,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,153,1056,1056,ExpandOpportunity
154,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,154,1062,1062,ExpandOpportunity
155,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,155,1072,1072,ExpandOpportunity
156,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,156,1080,1080,ExpandOpportunity
157,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,157,1083,1083,ExpandOpportunity
158,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,158,1098,1098,ExpandOpportunity
159,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,159,1105,1105,ExpandOpportunity
160,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,160,1109,1109,ExpandOpportunity
161,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,161,1118,1118,ExpandOpportunity
162,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,162,1125,1125,ExpandOpportunity
163,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,163,1152,1152,ExpandOpportunity
164,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,164,1156,1156,ExpandOpportunity
165,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,165,1164,1164,ExpandOpportunity
166,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,166,1185,1185,ExpandOpportunity
167,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,167,1220,1220,ExpandOpportunity
168,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,168,1227,1227,ExpandOpportunity
169,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,169,1243,1243,ExpandOpportunity
170,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,170,1256,1256,ExpandOpportunity
171,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,171,1275,1275,ExpandOpportunity
172,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,172,1281,1281,ExpandOpportunity
173,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,173,1302,1302,ExpandOpportunity
174,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,174,1309,1309,ExpandOpportunity
175,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,175,1318,1318,ExpandOpportunity
176,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,176,1329,1329,ExpandOpportunity
177,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,177,1357,1357,ExpandOpportunity
178,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,178,1368,1368,ExpandOpportunity
179,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,179,1382,1382,ExpandOpportunity
180,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,180,1406,1406,ExpandOpportunity
181,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,181,1415,1415,ExpandOpportunity
182,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,182,1428,1428,ExpandOpportunity
183,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,183,1440,1440,ExpandOpportunity
184,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,184,1449,1449,ExpandOpportunity
185,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,185,1464,1464,ExpandOpportunity
186,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,186,1490,1490,ExpandOpportunity
187,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,187,1502,1502,ExpandOpportunity
188,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,188,1510,1510,ExpandOpportunity
189,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,189,1524,1524,ExpandOpportunity
190,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,190,1529,1529,ExpandOpportunity
191,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,191,1539,1539,ExpandOpportunity
192,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,192,1554,1554,ExpandOpportunity
193,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,193,1564,1564,ExpandOpportunity
194,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,194,1574,1574,ExpandOpportunity
195,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,195,1579,1579,ExpandOpportunity
196,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,196,1593,1593,ExpandOpportunity
197,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,197,1613,1613,ExpandOpportunity
198,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,198,1614,1614,ExpandOpportunity
