,Date,User,Tweet,Likes,Comments,Retweets,Views
69,2022-11-29 17:04:08+00:00,TheKnowledgeHou,"#GivingTuesday is HERE! Join us today to change the life of an aspiring technologist with a gift you can send every 2 weeks or monthly using our TKH #GivingClub.

https://t.co/Izdz7SdcIx

#ExpandOpportunity #GivingWeek #LosAngeles #Atlanta #GivingTuesday #NonProfit #GivingSeason",2,0,1,
70,2022-11-26 19:01:23+00:00,TheKnowledgeHou,"Let’s amplify and support your small #BlackOwned businesses in your local communities today!

Tag your favorite Black-owned businesses in the comments👇

#ExpandOpportunity #POC #SmallBusinessSaturday #blackownedbusiness #blackowned https://t.co/Tnk3Ji1IEM",2,1,3,
71,2022-11-25 19:04:24+00:00,TheKnowledgeHou,"Shout to our most recent TKH #Alum placements! 
TKH will always be looking out for our fellows for any opportunity that comes our way. 

Support us: https://t.co/Hm1mgIc331

#ExpandOpportunity #GivingWeek #Newark #LosAngeles #Atlanta #GivingTuesday #NonProfit #GivingSeason https://t.co/Am3x0zTGXM",2,0,1,
72,2022-11-24 17:00:08+00:00,TheKnowledgeHou,"Happy Thanksgiving! Giving Tuesday is less than ONE WEEK AWAY—don’t miss the chance to support #futuretechies in cities like #Atlanta, #LA, #NewJersey &amp; #NYC!

https://t.co/Hm1mgItDUz

#ExpandOpportunity #GivingWeek #NonProfit #GivingSeason #friendsgiving #SeasonofGiving https://t.co/pz9iT8u2UF",2,0,1,
73,2022-11-22 19:35:12+00:00,TheKnowledgeHou,"Join us Monday, December 5th, as we have a candid conversation on finances and how you can support yourself or someone else's future. 

RSVP https://t.co/TWkyIoddrj

#ExpandOpportunity #GivingWeek #Newark #LosAngeles #Atlanta #GivingTuesday #NonProfit #GivingSeason https://t.co/oUXf45WqST",4,0,0,
74,2022-11-18 19:00:35+00:00,TheKnowledgeHou,"What’s your first experience with #tech? Comment down below 👇

#ExpandOpportunity #STEM #TechExperience #NonProfit #FellowshipCampaign #TechGoals #TechTok #WomenInTech #POC #womeninSTEM https://t.co/TZKmQhlJbf",3,0,2,
75,2022-11-17 20:40:39+00:00,TheKnowledgeHou,"Thank you all for attending our 2022 Corporate Partners Reception presented by Accenture! We’re so grateful to all of our speakers for inspiring conversations regarding the #TechIndustry &amp; its future.

Join our #Giving Clubs today!

#ExpandOpportuntiy #techcareers #techevent https://t.co/OFntC8xG79",2,0,1,
76,2022-11-11 21:02:02+00:00,TheKnowledgeHou,"#StaffoftheMonth returns, &amp; this time it's our beloved Senior Manager of Data, Operations, &amp; Tech, Madeline Vera! 
She’s been with us since almost the beginning of TKH &amp; has been a pivotal #teammember to keep us running as smoothly as possible. 

#StaffSpotlight #staff #TGIF https://t.co/JOxwhPaUxN",2,0,0,
77,2022-11-11 17:00:39+00:00,TheKnowledgeHou,"We had loads of fun at our 8th Anniversary celebration. Thank you to all who came out to support and celebrate with us. Become a part of our #TKHFamily by joining our #Giving Clubs today! Link in bio.

#ExpandOpportuntiy #Annivsary #BronxEvents #NonProfit #Donate #Campagin https://t.co/hBSf2QdYOE",2,0,0,
78,2022-11-09 21:25:27+00:00,TheKnowledgeHou,"Shout out to one of our Advisory Council members in #LosAngeles, Sergio Rosas! He's given his time, talent, &amp; treasure over the past year through his passion for #tech curriculum building &amp; access to #techopportunities for #CommunitiesofColor.
#ExpandOpportuntiy #POC #TechTalents https://t.co/59VExNbWbF",3,0,0,
79,2022-11-08 21:20:10+00:00,TheKnowledgeHou,"Cheers 🥂 to our anniversary and the official kickoff for our 2022 Fellowship Campaign! We had a great time.
#ExpandOpportunity #BronxEvents #dataprotection #WomenInTech #POC #womeninSTEM #STEM #STEMSTEAMDay https://t.co/sOmPQCC4mG",3,0,0,
80,2022-11-04 18:15:15+00:00,TheKnowledgeHou,"Cheers 🥂 to everyone who has given &amp; shared our mission during this campaign. We are so close to fully funding aspiring #technologists into rewarding careers!

#ExpandOpportunity #Newark #LA #Atlanta #tech #uxui #CyberSecurity #WebDevelopment #DataScience #STEM #POC #FunFridays https://t.co/DfhM0ZGg9g",4,0,0,
81,2022-11-04 13:25:35+00:00,TheKnowledgeHou,"“We partner with community-based organizations in our site cities to identify underestimated talent looking to transition into the tech industry,” says Daniel Adeyanju, Director of Programs at TKH.

https://t.co/nBlsYfrixA",2,0,0,
82,2022-11-04 11:23:34+00:00,TheKnowledgeHou,@newprofit Thank you for the support!,2,0,0,
83,2022-11-04 11:21:57+00:00,TheKnowledgeHou,"Invest in a fellow through one of our new monthly giving clubs today! 

New Profit invests in six social entrepreneurs expanding opportunity in America: https://t.co/uXbHMUzOrM",2,0,0,
84,2022-11-03 17:30:12+00:00,TheKnowledgeHou,"Our #WebDevelopers are killing it in their classes &amp; we’re so excited for what’s to come. Here’s what one of them said before starting. Invest in our Fellows today!

#ExpandOpportunity #WebDevelopement #Innovation #fellowship https://t.co/MzfHTIKmuS",2,0,0,
85,2022-10-28 14:32:11+00:00,TheKnowledgeHou,"TKH is making moves!

https://t.co/dvHKa0bnr2",3,0,0,
86,2022-10-27 18:02:59+00:00,TheKnowledgeHou,"Join us for our next round of #interviews! This is a great #opportunity to get to know our fellows and give them the experience of a #virtualinterview.
https://t.co/1uQ37HS1lv
#ExpandOpportunity #Volunteer #NonProfit #MockInterviews https://t.co/6FC4qgJ9xz",1,0,0,
87,2022-10-26 19:01:42+00:00,TheKnowledgeHou,"Check out this press release about the launch of our 2022 Fellowship Campaign and donate to support our 2022-23 Fellows across the nation! https://t.co/5qH7RJTuLg
#TKHFC2022 #Fellowship #Campaign https://t.co/OPEqQFsEW5",1,0,0,
